# day  n_orgs
      1.00      28
      2.00       0
      3.00       0
      4.00       0
      5.00       0
      6.00       0
      7.00       0
      8.00       0
      9.00       0
     10.00       0
     11.00       0
     12.00       0
     13.00       0
     14.00       0
     15.00       0
     16.00       0
     17.00       0
     18.00       0
     19.00       0
     20.00       0
     21.00       0
     22.00       0
     23.00       0
     24.00       0
     25.00       0
     26.00       0
     27.00       0
     28.00       0
     29.00       0
     30.00       0
     31.00       0
     32.00       0
     33.00       0
     34.00       0
     35.00       0
     36.00       0
